pesquisa;sigla-pesquisa;ano;tipo;regiao;estado;amostra;informantes;preverbal;duplanegacao;posverbal;total
Lopes da Silva;lp;2020;artigo;Nordeste;Ceara;Corpus coletado por Torres (2008);40;1819;278;7;2097
Nunes;nu;2014;artigo;Sudeste;Rio de Janeiro;PEUL;8;616;214;13;843
Nascimento;na;2014;dissertacao;Sudeste;Espirito Santo;PortVix;18;1751;478;34;2263
Rocha2;r2;2013;dissertacao;Sudeste;Sao Paulo;GESOL;48;5279;324;4;5607
Cavalcante;ca;2007;dissertacao;Nordeste;Bahia;Projeto Vertentes;18;1343;568;115;2026
Serra;se;2018;dissertacao;Nordeste;Maranhao;Propria;24;1009;133;17;1159
Reimmann e Yacovenco;ry;2011;artigo;Sudeste;Espirito Santo;PortVix;8;721;216;42;979
Rocha;r;2012;artigo;Sudeste;Sao Paulo;GESOL;12;940;117;4;1061
Yacovenco e Nascimento;yn;2016;artigo;Sudeste;Espirito Santo;PortVix;18;1751;478;34;2263
Reimmann e Yacovenco2;ry2;2014;artigo;Sudeste;Espirito Santo;PortVix;18;1754;478;34;2266
